key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-customer-01,true,"UserIdentity{name: 'Aolo', surname: 'Bopo', email: 'customer1@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Dala', surname: 'Cata', email: 'customer2@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Gete', surname: 'Hasa', email: 'customer3@acme.com'}",customer3,customer3
user-account-customer-04,true,"UserIdentity{name: 'Erik', surname: 'Zeta', email: 'customer4@acme.com'}",customer4,customer4
user-account-customer-05,true,"UserIdentity{name: 'Xavi', surname: 'Cruz', email: 'customer5@acme.com'}",customer5,customer5
user-account-customer-06,true,"UserIdentity{name: 'Mario', surname: 'Lima', email: 'customer6@acme.com'}",customer6,customer6
user-account-customer-07,true,"UserIdentity{name: 'Nadia', surname: 'Lima', email: 'customer7@acme.com'}",customer7,customer7
user-account-customer-08,true,"UserIdentity{name: 'Elisa', surname: 'Luna', email: 'customer8@acme.com'}",customer8,customer8
user-account-customer-09,true,"UserIdentity{name: 'Sonia', surname: 'Luna', email: 'customer9@acme.com'}",customer9,customer9
user-account-customer-10,true,"UserIdentity{name: 'Raul', surname: 'Lima', email: 'customer10@acme.com'}",customer10,customer10
user-account-customer-11,true,"UserIdentity{name: 'Oscar', surname: 'Lima', email: 'customer11@acme.com'}",customer11,customer11
user-account-customer-12,true,"UserIdentity{name: 'Ivan', surname: 'Lima', email: 'customer12@acme.com'}",customer12,customer12
user-account-customer-13,true,"UserIdentity{name: 'Ulises', surname: 'Lima', email: 'customer13@acme.com'}",customer13,customer13
user-account-customer-14,true,"UserIdentity{name: 'Pablo', surname: 'Lima', email: 'customer14@acme.com'}",customer14,customer14
user-account-customer-15,true,"UserIdentity{name: 'Nil', surname: 'Lima', email: 'customer15@acme.com'}",customer15,customer15
